part,color,quantity,stl,finish_color,color_change_z_mm
BASE3-03x10-T-aa77a9,black,2,parts/BASE3-03x10-T-aa77a9.stl,,
BASE3-03x10-T-d79875,black,2,parts/BASE3-03x10-T-d79875.stl,,
BASE3-06x10-T-3f87ac,black,2,parts/BASE3-06x10-T-3f87ac.stl,,
BASE3-06x10-T-6159e6,black,2,parts/BASE3-06x10-T-6159e6.stl,,
BASE3-06x10-T-6e100f,black,2,parts/BASE3-06x10-T-6e100f.stl,,
BASE3-06x10-T-838259,black,6,parts/BASE3-06x10-T-838259.stl,,
BASE3-06x10-T-e1945a,black,2,parts/BASE3-06x10-T-e1945a.stl,,
BASE3-24x10-B-562406,black,1,parts/BASE3-24x10-B-562406.stl,,
BR-01x04-H096,green,8,parts/BR-01x04-H096.stl,,
BR-02x04-H064,magenta,2,parts/BR-02x04-H064.stl,,
BR-02x04-H096,black,19,parts/BR-02x04-H096.stl,,
BR-02x04-H096,magenta,1,parts/BR-02x04-H096.stl,,
BR-02x05-H096,cyan,24,parts/BR-02x05-H096.stl,,
BR-02x06-H096,magenta,16,parts/BR-02x06-H096.stl,,
BR-03x04-H096,black,12,parts/BR-03x04-H096.stl,,
BR-04x04-H064,magenta,1,parts/BR-04x04-H064.stl,,
BR-04x04-H096,black,21,parts/BR-04x04-H096.stl,,
BR-04x04-H096,magenta,2,parts/BR-04x04-H096.stl,,
BR-04x05-H096,cyan,12,parts/BR-04x05-H096.stl,,
BR-05x04-H096,black,8,parts/BR-05x04-H096.stl,,
NP3-KEEPER,black,3,parts/NP3-KEEPER.stl,,
NP3-LOGO-B,black,1,parts/NP3-LOGO-B.stl,white,2.8
NP3-TEXT-B,black,1,parts/NP3-TEXT-B.stl,white,2.4
