plate,slot,part,color,finish_color,dimensions_mm,quantity_on_plate,quantity_in_assembly,suggested_placement,suggested_step,candidate_placements,candidate_steps,all_source_slots
B-black-01.3mf,1,BASE3-03x10-T-aa77a9,black,,23.8 x 79.8 x 11.4,2,2,B-006,3,B-006 B-015,3 5,B-black-01.3mf#1 B-black-01.3mf#2
B-black-01.3mf,2,BASE3-03x10-T-aa77a9,black,,23.8 x 79.8 x 11.4,2,2,B-015,5,B-006 B-015,3 5,B-black-01.3mf#1 B-black-01.3mf#2
B-black-01.3mf,3,BASE3-03x10-T-d79875,black,,23.8 x 79.8 x 11.4,2,2,B-010,3,B-010 B-019,3 5,B-black-01.3mf#3 B-black-01.3mf#4
B-black-01.3mf,4,BASE3-03x10-T-d79875,black,,23.8 x 79.8 x 11.4,2,2,B-019,5,B-010 B-019,3 5,B-black-01.3mf#3 B-black-01.3mf#4
B-black-01.3mf,5,BASE3-06x10-T-6159e6,black,,47.8 x 79.8 x 11.4,2,2,B-009,3,B-009 B-018,3 5,B-black-01.3mf#5 B-black-01.3mf#6
B-black-01.3mf,6,BASE3-06x10-T-6159e6,black,,47.8 x 79.8 x 11.4,2,2,B-018,5,B-009 B-018,3 5,B-black-01.3mf#5 B-black-01.3mf#6
B-black-01.3mf,7,BASE3-06x10-T-6e100f,black,,47.8 x 79.8 x 11.4,2,2,B-005,2,B-005 B-014,2 4,B-black-01.3mf#7 B-black-01.3mf#8
B-black-01.3mf,8,BASE3-06x10-T-6e100f,black,,47.8 x 79.8 x 11.4,2,2,B-014,4,B-005 B-014,2 4,B-black-01.3mf#7 B-black-01.3mf#8
B-black-02.3mf,1,BASE3-06x10-T-e1945a,black,,47.8 x 79.8 x 11.4,2,2,B-002,2,B-002 B-011,2 4,B-black-02.3mf#1 B-black-02.3mf#2
B-black-02.3mf,2,BASE3-06x10-T-e1945a,black,,47.8 x 79.8 x 11.4,2,2,B-011,4,B-002 B-011,2 4,B-black-02.3mf#1 B-black-02.3mf#2
B-black-02.3mf,3,BASE3-24x10-B-562406,black,,191.8 x 79.8 x 11.4,1,1,B-001,1,B-001,1,B-black-02.3mf#3
B-black-03.3mf,1,BASE3-06x10-T-3f87ac,black,,47.8 x 76.4 x 11.4,2,2,B-004,2,B-004 B-013,2 4,B-black-03.3mf#1 B-black-03.3mf#2
B-black-03.3mf,2,BASE3-06x10-T-3f87ac,black,,47.8 x 76.4 x 11.4,2,2,B-013,4,B-004 B-013,2 4,B-black-03.3mf#1 B-black-03.3mf#2
B-black-03.3mf,3,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,4,6,B-003,2,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
B-black-03.3mf,4,BASE3-06x10-T-838259,black,,47.8 x 76.4 x 11.4,4,6,B-007,3,B-003 B-007 B-008 B-012 B-016 B-017,2 3 4 5,B-black-03.3mf#3 B-black-03.3mf#4 B-black-03.3mf#5 B-black-03.3mf#6 B-black-04.3mf#1 B-black-04.3mf#2
